Common name,Scientific name,Population,Taxon,Range,COSEWIC status,Schedule,SARA status
Sea Mink,Mustela macrodon,,Mammals,"New Brunswick, Nova Scotia, Atlantic Ocean",Extinct,,
Sea Otter,Enhydra lutris,,Mammals,"British Columbia, Pacific Ocean",Special Concern,Schedule 1,Special Concern
Seaside Birds-foot Lotus,Lotus formosissimus,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Seaside Bone Lichen,Hypogymnia heterophylla,,Lichens,British Columbia,Threatened,Schedule 1,Threatened
Seaside Centipede Lichen,Heterodermia sitchensis,,Lichens,British Columbia,Endangered,Schedule 1,Endangered
Sedge Wren,Cistothorus platensis,,Birds,"Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick",Not at Risk,,
Sei Whale,Balaenoptera borealis,Pacific population,Mammals,Pacific Ocean,Endangered,Schedule 1,Endangered
Serpentine Stitchwort,Minuartia marcescens,,Vascular Plants,"Quebec, Newfoundland and Labrador",Not at Risk,,
Sharp-shinned Hawk,Accipiter striatus,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Sharp-tailed Snake,Contia tenuis,,Reptiles,British Columbia,Endangered,Schedule 1,Endangered
Short's Aster,Symphyotrichum shortii,,Vascular Plants,Ontario,Not at Risk,,
Short-beaked Common Dolphin,Delphinus delphis,,Mammals,"Pacific Ocean, Atlantic Ocean",Not at Risk,,
Short-eared Owl,Asio flammeus,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Special Concern,Schedule 1,Special Concern
Short-finned Pilot Whale,Globicephala macrorhynchus,,Mammals,Pacific Ocean,Not at Risk,,
Short-rayed Alkali Aster,Symphyotrichum frondosum,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Short-tailed Albatross,Phoebastria albatrus,,Birds,"British Columbia, Pacific Ocean",Threatened,Schedule 1,Threatened
Shortfin Mako,Isurus oxyrinchus,Atlantic population,Fishes,Atlantic Ocean,Threatened,No schedule,No Status
Shorthead Sculpin,Cottus confusus,,Fishes,British Columbia,Special Concern,Schedule 1,Special Concern
Shortjaw Cisco,Coregonus zenithicus,,Fishes,"Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario",Threatened,Schedule 2,Threatened
Shortnose Cisco,Coregonus reighardi,,Fishes,Ontario,Endangered,Schedule 1,Endangered
Shortnose Sturgeon,Acipenser brevirostrum,,Fishes,New Brunswick,Special Concern,Schedule 1,Special Concern
Showy Goldenrod,Solidago speciosa,,Vascular Plants,Ontario,Non-active,Schedule 1,Endangered
Showy Goldenrod,Solidago speciosa,Great Lakes Plains population,Vascular Plants,Ontario,Endangered,No schedule,No Status
Showy Goldenrod,Solidago speciosa,Boreal population,Vascular Plants,Ontario,Threatened,No schedule,No Status
Showy Phlox,Phlox speciosa ssp. occidentalis,,Vascular Plants,British Columbia,Threatened,Schedule 1,Threatened
Shumard Oak,Quercus shumardii,,Vascular Plants,Ontario,Special Concern,Schedule 3,Special Concern
Silky Beach Pea,Lathyrus littoralis,,Vascular Plants,British Columbia,Threatened,No schedule,No Status
Silver Chub,Macrhybopsis storeriana,,Fishes,"Manitoba, Ontario",Non-active,Schedule 1,Special Concern
Silver Chub,Macrhybopsis storeriana,Great Lakes - Upper St. Lawrence populations,Fishes,Ontario,Endangered,No schedule,No Status
Silver Chub,Macrhybopsis storeriana,Saskatchewan - Nelson River populations,Fishes,Manitoba,Not at Risk,No schedule,No Status
Silver Hair Moss,Fabronia pusilla,,Mosses,British Columbia,Endangered,Schedule 1,Endangered
Silver Lamprey,Ichthyomyzon unicuspis,Great Lakes - Upper St. Lawrence populations,Fishes,"Ontario, Quebec",Special Concern,No schedule,No Status
Silver Shiner,Notropis photogenis,,Fishes,Ontario,Threatened,Schedule 3,Special Concern
Skillet Clubtail,Gomphus ventricosus,,Arthropods,New Brunswick,Endangered,No schedule,No Status
Skinner's Agalinis,Agalinis skinneriana,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Slender Bush-clover,Lespedeza virginica,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Slender Collomia,Collomia tenella,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Slender Mouse-ear-cress,Halimolobos virgata,,Vascular Plants,"Alberta, Saskatchewan",Threatened,Schedule 1,Threatened
Slender Popcornflower,Plagiobothrys tenellus,,Vascular Plants,British Columbia,Threatened,Schedule 1,Threatened
Slender Woolly-heads,Psilocarphus tenellus var. tenellus,,Vascular Plants,British Columbia,Not at Risk,,
Small White Lady's-slipper,Cypripedium candidum,,Vascular Plants,"Manitoba, Ontario",Endangered,Schedule 1,Endangered
Small Whorled Pogonia,Isotria medeoloides,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Small-flowered Lipocarpha,Lipocarpha micrantha,,Vascular Plants,"British Columbia, Ontario",Endangered,Schedule 1,Endangered
Small-flowered Sand-verbena,Tripterocalyx micranthus,,Vascular Plants,"Alberta, Saskatchewan",Endangered,Schedule 1,Endangered
Small-flowered Tonella,Tonella tenella,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Small-mouthed Salamander,Ambystoma texanum,,Amphibians,Ontario,Endangered,Schedule 1,Endangered
Smooth Goosefoot,Chenopodium subglabrum,,Vascular Plants,"Alberta, Saskatchewan, Manitoba",Threatened,Schedule 1,Threatened
Smooth Skate,Malacoraja senta,Funk Island Deep population,Fishes,"Newfoundland and Labrador, Atlantic Ocean",Endangered,No schedule,No Status
Smooth Skate,Malacoraja senta,Laurentian-Scotian population,Fishes,"Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Atlantic Ocean",Special Concern,No schedule,No Status
Snapping Turtle,Chelydra serpentina,,Reptiles,"Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Special Concern,Schedule 1,Special Concern
Snowy Owl,Bubo scandiaca,,Birds,"Yukon, Northwest Territories, Nunavut, Manitoba, Quebec, Newfoundland and Labrador",Not at Risk,,
Snuffbox,Epioblasma triquetra,,Molluscs,Ontario,Endangered,Schedule 1,Endangered
Soapweed,Yucca glauca,,Vascular Plants,"Alberta, Saskatchewan",Threatened,Schedule 1,Threatened
Sockeye Salmon,Oncorhynchus nerka,Sakinaw population,Fishes,"British Columbia, Pacific Ocean",Endangered,No schedule,No Status
Sockeye Salmon,Oncorhynchus nerka,Cultus population,Fishes,"British Columbia, Pacific Ocean",Endangered,No schedule,No Status
Sonora Skipper,Polites sonora,,Arthropods,British Columbia,Special Concern,Schedule 1,Special Concern
Southern Flying Squirrel,Glaucomys volans,,Mammals,"Ontario, Quebec, Nova Scotia",Non-active,Schedule 3,Special Concern
Southern Flying Squirrel,Glaucomys volans,Great Lakes Plains population,Mammals,"Ontario, Quebec",Not at Risk,,
Southern Flying Squirrel,Glaucomys volans,Atlantic (Nova Scotia) population,Mammals,Nova Scotia,Not at Risk,,
Southern Grey Wolf,Canis lupus nubilus,,Mammals,British Columbia,Not at Risk,,
Southern Maidenhair Fern,Adiantum capillus-veneris,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Sowerby's Beaked Whale,Mesoplodon bidens,,Mammals,Atlantic Ocean,Special Concern,Schedule 1,Special Concern
Spalding's Campion,Silene spaldingii,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Speckled Dace,Rhinichthys osculus,,Fishes,British Columbia,Endangered,Schedule 1,Endangered
Sperm Whale,Physeter macrocephalus,,Mammals,"Pacific Ocean, Atlantic Ocean",Not at Risk,,
Spike-lip Crater,Appalachina sayana,,Molluscs,"Ontario, Quebec, New Brunswick, Nova Scotia",Not at Risk,,
Spiked Saxifrage,Micranthes spicata,,Vascular Plants,Yukon,Threatened,No schedule,No Status
Spiny Dogfish,Squalus acanthias,Atlantic population,Fishes,Atlantic Ocean,Special Concern,No schedule,No Status
Spiny Softshell,Apalone spinifera,,Reptiles,"Ontario, Quebec",Threatened,Schedule 1,Threatened
Spoon-leaved Moss,Bryoandersonia illecebra,,Mosses,Ontario,Endangered,Schedule 1,Endangered
Spoonhead Sculpin,Cottus ricei,,Fishes,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec",Not at Risk,,
Spotted Bat,Euderma maculatum,,Mammals,British Columbia,Special Concern,Schedule 1,Special Concern
Spotted Gar,Lepisosteus oculatus,,Fishes,Ontario,Threatened,Schedule 1,Threatened
Spotted Owl caurina subspecies,Strix occidentalis caurina,,Birds,British Columbia,Endangered,Schedule 1,Endangered
Spotted Sucker,Minytrema melanops,,Fishes,Ontario,Special Concern,Schedule 1,Special Concern
Spotted Turtle,Clemmys guttata,,Reptiles,"Ontario, Quebec",Endangered,Schedule 1,Endangered
Spotted Wintergreen,Chimaphila maculata,,Vascular Plants,"Ontario, Quebec",Endangered,Schedule 1,Endangered
Spotted Wolffish,Anarhichas minor,,Fishes,"Arctic Ocean, Atlantic Ocean",Threatened,Schedule 1,Threatened
Sprague's Pipit,Anthus spragueii,,Birds,"Alberta, Saskatchewan, Manitoba",Threatened,Schedule 1,Threatened
Spring Blue-eyed Mary,Collinsia verna,,Vascular Plants,Ontario,Extirpated,Schedule 1,Extirpated
Spring Cisco,Coregonus sp.,,Fishes,Quebec,Endangered,Schedule 1,Endangered
Spring Salamander,Gyrinophilus porphyriticus,,Amphibians,"Ontario, Quebec",Non-active,Schedule 1,Special Concern
Spring Salamander,Gyrinophilus porphyriticus,Adirondack / Appalachian population,Amphibians,Quebec,Threatened,No schedule,No Status
Spring Salamander,Gyrinophilus porphyriticus,Carolinian population,Amphibians,Ontario,Extirpated,No schedule,No Status
Squanga Whitefish,Coregonus sp.,,Fishes,Yukon,Special Concern,Schedule 3,Special Concern
Stejneger's Beaked Whale,Mesoplodon stejneri,,Mammals,Pacific Ocean,Not at Risk,,
Steller Sea Lion,Eumetopias jubatus,,Mammals,"British Columbia, Pacific Ocean",Special Concern,Schedule 1,Special Concern
Stoloniferous Pussytoes,Antennaria flagellaris,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Streambank Lupine,Lupinus rivularis,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Striped Bass,Morone saxatilis,Southern Gulf of St. Lawrence population,Fishes,"Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Atlantic Ocean",Special Concern,No schedule,No Status
Striped Bass,Morone saxatilis,Bay of Fundy population,Fishes,"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,No schedule,No Status
Striped Bass,Morone saxatilis,St. Lawrence River population,Fishes,"Quebec, Atlantic Ocean",Endangered,Schedule 1,Extirpated
Striped Dolphin,Stenella coeruleoalba,,Mammals,"Pacific Ocean, Atlantic Ocean",Not at Risk,,
Striped Shiner,Luxilus chrysocephalus,,Fishes,Ontario,Not at Risk,,
Swamp Rose-mallow,Hibiscus moscheutos,,Vascular Plants,Ontario,Special Concern,Schedule 1,Special Concern
Sweet Pepperbush,Clethra alnifolia,,Vascular Plants,Nova Scotia,Special Concern,Schedule 1,Special Concern
Swift Fox,Vulpes velox,,Mammals,"Alberta, Saskatchewan",Threatened,Schedule 1,Threatened
Tall Bugbane,Actaea elata,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Tall Woolly-heads,Psilocarphus elatior,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Taylor's Checkerspot,Euphydryas editha taylori,,Arthropods,British Columbia,Endangered,Schedule 1,Endangered
Tessellated Darter,Etheostoma olmstedi,,Fishes,"Ontario, Quebec",Not at Risk,,
Thorny Skate,Amblyraja radiata,,Fishes,"Nunavut, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Arctic Ocean, Atlantic Ocean",Special Concern,No schedule,No Status
Thread-leaved Sundew,Drosera filiformis,,Vascular Plants,Nova Scotia,Endangered,Schedule 1,Endangered
Threaded Vertigo,Nearctula sp.,,Molluscs,British Columbia,Special Concern,Schedule 1,Special Concern
Threehorn Wartyback,Obliquaria reflexa,,Molluscs,Ontario,Threatened,No schedule,No Status
Tiger Salamander,Ambystoma tigrinum,Great Lakes population,Amphibians,Ontario,Non-active,Schedule 1,Extirpated
Tiger Salamander,Ambystoma tigrinum,Southern Mountain population,Amphibians,British Columbia,Non-active,Schedule 1,Endangered
Timber Rattlesnake,Crotalus horridus,,Reptiles,Ontario,Extirpated,Schedule 1,Extirpated
Tiny Cryptantha,Cryptantha minima,,Vascular Plants,"Alberta, Saskatchewan",Threatened,Schedule 1,Endangered
Toothcup,Rotala ramosior,,Vascular Plants,"British Columbia, Ontario",Endangered,Schedule 1,Endangered
Tope,Galeorhinus galeus,,Fishes,Pacific Ocean,Special Concern,Schedule 1,Special Concern
Townsend's Mole,Scapanus townsendii,,Mammals,British Columbia,Endangered,Schedule 1,Endangered
Tri-colored Bat,Perimyotis subflavus,,Mammals,"Ontario, Quebec, New Brunswick, Nova Scotia",Endangered,No schedule,No Status
True's Beaked Whale,Mesoplodon mirus,,Mammals,Atlantic Ocean,Not at Risk,,
Trumpeter Swan,Cygnus buccinator,,Birds,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Ontario",Not at Risk,,
Tubercled Spike-rush,Eleocharis tuberculosa,,Vascular Plants,Nova Scotia,Special Concern,Schedule 1,Special Concern
Tuberous Indian-plantain,Arnoglossum plantagineum,,Vascular Plants,Ontario,Special Concern,Schedule 1,Special Concern
Turnor's Willow,Salix turnorii,,Vascular Plants,Saskatchewan,Special Concern,Schedule 1,Special Concern
Tweedy's Lewisia,Lewisiopsis tweedyi,,Vascular Plants,British Columbia,Endangered,,
Twisted Oak Moss,Syntrichia laevipila,,Mosses,British Columbia,Special Concern,Schedule 1,Special Concern
Tyrrell's Willow,Salix tyrrellii,,Vascular Plants,"Northwest Territories, Nunavut, Saskatchewan",Not at Risk,,
Umatilla Dace,Rhinichthys umatilla,,Fishes,British Columbia,Threatened,Schedule 3,Special Concern
Unarmoured Threespine Stickleback,Gasterosteus aculeatus,,Fishes,British Columbia,Special Concern,Schedule 3,Special Concern
Upper Great Lakes Kiyi,Coregonus kiyi kiyi,,Fishes,Ontario,Special Concern,Schedule 1,Special Concern
Van Brunt's Jacob's-ladder,Polemonium vanbruntiae,,Vascular Plants,Quebec,Threatened,Schedule 1,Threatened
Vananda Creek Benthic Threespine Stickleback,Gasterosteus aculeatus,,Fishes,British Columbia,Endangered,Schedule 1,Endangered
Vananda Creek Limnetic Threespine Stickleback,Gasterosteus aculeatus,,Fishes,British Columbia,Endangered,Schedule 1,Endangered
Vancouver Island Beggarticks,Bidens amplissima,,Vascular Plants,British Columbia,Special Concern,Schedule 1,Special Concern
Vancouver Island Marmot,Marmota vancouverensis,,Mammals,British Columbia,Endangered,Schedule 1,Endangered
Vancouver Lamprey,Lampetra macrostoma,,Fishes,British Columbia,Threatened,Schedule 1,Threatened
Verna's Flower Moth,Schinia verna,,Arthropods,"Alberta, Saskatchewan, Manitoba",Threatened,Schedule 1,Threatened
Vesper Sparrow affinis subspecies,Pooecetes gramineus affinis,,Birds,British Columbia,Endangered,Schedule 1,Endangered
Victoria's Owl-clover,Castilleja victoriae,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Victorin's Gentian,Gentianopsis virgata ssp. victorinii,,Vascular Plants,Quebec,Threatened,Schedule 1,Threatened
Victorin's Water-hemlock,Cicuta maculata var. victorinii,,Vascular Plants,Quebec,Special Concern,Schedule 1,Special Concern
Virginia Goat's-rue,Tephrosia virginiana,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Virginia Mallow,Sida hermaphrodita,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Schedule 1,Endangered
Wallis' Dark Saltflat Tiger Beetle,Cicindela parowana wallisi,,Arthropods,British Columbia,Endangered,Schedule 1,Endangered
Warmouth,Lepomis gulosus,,Fishes,Ontario,Special Concern,Schedule 1,Special Concern
Warty Jumping-slug,Hemphillia glandulosa,,Molluscs,British Columbia,Special Concern,Schedule 1,Special Concern
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Threatened,Schedule 1,Threatened
Water-plantain Buttercup,Ranunculus alismifolius,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Wavy-rayed Lampmussel,Lampsilis fasciola,,Molluscs,Ontario,Special Concern,Schedule 1,Special Concern
Weed Shiner,Notropis texanus,,Fishes,Manitoba,Not at Risk,,
Weidemeyer's Admiral,Limenitis weidemeyerii,,Arthropods,Alberta,Special Concern,Schedule 1,Special Concern
Western Blue Flag,Iris missouriensis,,Vascular Plants,Alberta,Special Concern,Schedule 1,Special Concern
Western Brook Lamprey,Lampetra richardsoni,Morrison Creek population,Fishes,British Columbia,Endangered,Schedule 1,Endangered
Western Chorus Frog,Pseudacris triseriata,Carolinian population,Amphibians,Ontario,Not at Risk,,
Western Chorus Frog,Pseudacris triseriata,Great Lakes / St. Lawrence - Canadian Shield population,Amphibians,"Ontario, Quebec",Threatened,Schedule 1,Threatened
Western Harvest Mouse dychei subspecies,Reithrodontomys megalotis dychei,,Mammals,Alberta,Endangered,Schedule 1,Endangered
Western Harvest Mouse megalotis subspecies,Reithrodontomys megalotis megalotis,,Mammals,British Columbia,Special Concern,Schedule 1,Special Concern
Western Painted Turtle,Chrysemys picta bellii,Pacific Coast population,Reptiles,British Columbia,Endangered,Schedule 1,Endangered
Western Painted Turtle,Chrysemys picta bellii,Intermountain - Rocky Mountain population,Reptiles,British Columbia,Special Concern,Schedule 1,Special Concern
Western Painted Turtle,Chrysemys picta bellii,Prairie / Western Boreal - Canadian Shield population,Reptiles,"Alberta, Saskatchewan, Manitoba, Ontario",Not at Risk,,
Western Prairie Fringed-orchid,Platanthera praeclara,,Vascular Plants,Manitoba,Endangered,Schedule 1,Endangered
Western Rattlesnake,Crotalus oreganus,,Reptiles,British Columbia,Threatened,Schedule 1,Threatened
Western Red-backed Salamander,Plethodon vehiculum,,Amphibians,British Columbia,Not at Risk,,
Western Screech-Owl kennicottii subspecies,Megascops kennicottii kennicottii,,Birds,British Columbia,Threatened,Schedule 1,Special Concern
Western Screech-Owl macfarlanei subspecies,Megascops kennicottii macfarlanei,,Birds,British Columbia,Threatened,Schedule 1,Endangered
Western Silvery Aster,Symphyotrichum sericeum,,Vascular Plants,"Manitoba, Ontario",Threatened,Schedule 1,Threatened
Western Silvery Minnow,Hybognathus argyritis,,Fishes,Alberta,Endangered,Schedule 1,Threatened
Western Skink,Plestiodon skiltonianus,,Reptiles,British Columbia,Special Concern,Schedule 1,Special Concern
Western Spiderwort,Tradescantia occidentalis,,Vascular Plants,"Alberta, Saskatchewan, Manitoba",Threatened,Schedule 1,Threatened
Western Tiger Salamander,Ambystoma mavortium,Southern Mountain population,Amphibians,British Columbia,Endangered,No schedule,No Status
Western Tiger Salamander,Ambystoma mavortium,Prairie / Boreal population,Amphibians,"Alberta, Saskatchewan, Manitoba",Special Concern,No schedule,No Status
Western Toad,Anaxyrus boreas,,Amphibians,"Yukon, Northwest Territories, British Columbia, Alberta",Non-active,Schedule 1,Special Concern
Western Toad,Anaxyrus boreas,Non-calling population,Amphibians,"Yukon, Northwest Territories, British Columbia, Alberta",Special Concern,No schedule,No Status
Western Toad,Anaxyrus boreas,Calling population,Amphibians,"British Columbia, Alberta",Special Concern,No schedule,No Status
Western Waterfan,Peltigera gowardii,,Lichens,British Columbia,Special Concern,,
Western Yellow-bellied Racer,Coluber constrictor mormon,,Reptiles,British Columbia,Special Concern,Schedule 1,Special Concern
Westslope Cutthroat Trout,Oncorhynchus clarkii lewisi,British Columbia population,Fishes,British Columbia,Special Concern,Schedule 1,Special Concern
Westslope Cutthroat Trout,Oncorhynchus clarkii lewisi,Alberta population,Fishes,Alberta,Threatened,Schedule 1,Threatened
White Flower Moth,Schinia bimatris,,Arthropods,Manitoba,Endangered,Schedule 1,Endangered
White Hake,Urophycis tenuis,Southern Gulf of St. Lawrence population,Fishes,Atlantic Ocean,Endangered,,
White Hake,Urophycis tenuis,Atlantic and Northern Gulf of St. Lawrence population,Fishes,Atlantic Ocean,Threatened,,
White Meconella,Meconella oregana,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
White Prairie Gentian,Gentiana alba,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
White Shark,Carcharodon carcharias,Atlantic population,Fishes,Atlantic Ocean,Endangered,Schedule 1,Endangered
White Sturgeon,Acipenser transmontanus,,Fishes,British Columbia,Non-active,No schedule,No Status
White Sturgeon,Acipenser transmontanus,Kootenay River population,Fishes,British Columbia,Non-active,Schedule 1,Endangered
White Sturgeon,Acipenser transmontanus,Lower Fraser River population,Fishes,British Columbia,Non-active,No schedule,No Status
White Sturgeon,Acipenser transmontanus,Middle Fraser River,Fishes,British Columbia,Non-active,No schedule,No Status
White Sturgeon,Acipenser transmontanus,Nechako River population,Fishes,British Columbia,Non-active,Schedule 1,Endangered
White Sturgeon,Acipenser transmontanus,Upper Columbia River population,Fishes,British Columbia,Non-active,Schedule 1,Endangered
White Sturgeon,Acipenser transmontanus,Upper Fraser River population,Fishes,British Columbia,Non-active,Schedule 1,Endangered
White Sturgeon,Acipenser transmontanus,Upper Kootenay River population,Fishes,British Columbia,Endangered,Schedule 3,No Status
White Sturgeon,Acipenser transmontanus,Lower Fraser River population,Fishes,British Columbia,Threatened,Schedule 3,No Status
White Sturgeon,Acipenser transmontanus,Upper Fraser River population,Fishes,British Columbia,Endangered,Schedule 3,No Status
White Sturgeon,Acipenser transmontanus,Upper Columbia River population,Fishes,British Columbia,Endangered,Schedule 3,No Status
White Wood Aster,Eurybia divaricata,,Vascular Plants,"Ontario, Quebec",Threatened,Schedule 1,Threatened
White-beaked Dolphin,Lagenorhynchus albirostris,,Mammals,Atlantic Ocean,Not at Risk,,
White-headed Woodpecker,Picoides albolarvatus,,Birds,British Columbia,Endangered,Schedule 1,Endangered
White-top Aster,Sericocarpus rigidus,,Vascular Plants,British Columbia,Special Concern,Schedule 1,Special Concern
Whitebark Pine,Pinus albicaulis,,Vascular Plants,"British Columbia, Alberta",Endangered,Schedule 1,Endangered
Whooping Crane,Grus americana,,Birds,"Northwest Territories, Alberta, Saskatchewan, Manitoba",Endangered,Schedule 1,Endangered
Wild Hyacinth,Camassia scilloides,,Vascular Plants,Ontario,Threatened,Schedule 1,Threatened
Williamson's Sapsucker,Sphyrapicus thyroideus,,Birds,British Columbia,Endangered,Schedule 1,Endangered
Willowleaf Aster,Symphyotrichum praealtum,,Vascular Plants,Ontario,Threatened,Schedule 1,Threatened
Winter Skate,Leucoraja ocellata,Southern Gulf of St. Lawrence population,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Winter Skate,Leucoraja ocellata,Eastern Scotian Shelf population,Fishes,Atlantic Ocean,Threatened,No schedule,No Status
Winter Skate,Leucoraja ocellata,Georges Bank-Western Scotian Shelf-Bay of Fundy population,Fishes,Atlantic Ocean,Special Concern,No schedule,No Status
Wolf-eel,Anarrhichthys ocellatus,,Fishes,Pacific Ocean,Not at Risk,,
Wolverine,Gulo gulo,Eastern population,Mammals,"Quebec, Newfoundland and Labrador",Endangered,Schedule 1,Endangered
Wolverine,Gulo gulo,Western population,Mammals,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario",Special Concern,No schedule,No Status
Wood Bison,Bison bison athabascae,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Manitoba",Special Concern,Schedule 1,Threatened
Wood Thrush,Hylocichla mustelina,,Birds,"Ontario, Quebec, New Brunswick, Nova Scotia",Threatened,No schedule,No Status
Wood Turtle,Glyptemys insculpta,,Reptiles,"Ontario, Quebec, New Brunswick, Nova Scotia",Threatened,Schedule 1,Threatened
Wood's Sagebrush,Artemisia rupestris ssp. woodii,,Vascular Plants,Yukon,Not at Risk,,
Wood-poppy,Stylophorum diphyllum,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Woodland caribou,Rangifer tarandus caribou,Newfoundland population,Mammals,Newfoundland and Labrador,Not at Risk,,
Woodland Caribou,Rangifer tarandus caribou,Atlantic-Gasp_sie population,Mammals,Quebec,Endangered,Schedule 1,Endangered
Woodland Caribou,Rangifer tarandus caribou,Boreal population,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Threatened,Schedule 1,Threatened
Woodland Caribou,Rangifer tarandus caribou,Northern Mountain population,Mammals,"Yukon, Northwest Territories, British Columbia",Special Concern,Schedule 1,Special Concern
Woodland Caribou,Rangifer tarandus caribou,Southern Mountain population,Mammals,"British Columbia, Alberta",Threatened,Schedule 1,Threatened
Woodland Vole,Microtus pinetorum,,Mammals,"Ontario, Quebec",Special Concern,Schedule 1,Special Concern
Y-Prickleback,Allolumpenus hypochromus,,Fishes,Pacific Ocean,Not at Risk,,
Yellow Lampmussel,Lampsilis cariosa,,Molluscs,"New Brunswick, Nova Scotia",Special Concern,Schedule 1,Special Concern
Yellow Montane Violet praemorsa subspecies,Viola praemorsa ssp. praemorsa,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Yellow Rail,Coturnicops noveboracensis,,Birds,"Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick",Special Concern,Schedule 1,Special Concern
Yellow-billed Loon,Gavia adamsii,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Manitoba, Quebec",Not at Risk,,
Yellow-breasted Chat auricollis subspecies,Icteria virens auricollis,Southern Mountain population,Birds,British Columbia,Endangered,Schedule 1,Endangered
Yellow-breasted Chat auricollis subspecies,Icteria virens auricollis,Prairie population,Birds,"Alberta, Saskatchewan",Not at Risk,,
Yellow-breasted Chat virens subspecies,Icteria virens virens,,Birds,Ontario,Endangered,Schedule 1,Special Concern
Yelloweye Rockfish,Sebastes ruberrimus,Pacific Ocean outside waters population,Fishes,Pacific Ocean,Special Concern,Schedule 1,Special Concern
Yelloweye Rockfish,Sebastes ruberrimus,Pacific Ocean inside waters population,Fishes,Pacific Ocean,Special Concern,Schedule 1,Special Concern
Yellowmouth Rockfish,Sebastes reedi,,Fishes,Pacific Ocean,Threatened,No schedule,No Status
Yucca Moth,Tegeticula yuccasella,,Arthropods,Alberta,Endangered,Schedule 1,Endangered
Yukon Aster,Symphyotrichum yukonense,,Vascular Plants,"Yukon, Northwest Territories",Not at Risk,,
Yukon Draba,Draba yukonensis,,Vascular Plants,Yukon,Endangered,No schedule,No Status
