Common name,Scientific name,Population,Taxon,Range,COSEWIC status,Schedule,SARA status
Buff-breasted Sandpiper,Tryngites subruficollis,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec",Special Concern,No schedule,No Status
Buffalograss,Bouteloua dactyloides,,Vascular Plants,"Saskatchewan, Manitoba",Special Concern,Schedule 1,Threatened
Bull Trout,Salvelinus confluentus,South Coast British Columbia populations,Fishes,British Columbia,Special Concern,No schedule,No Status
Bull Trout,Salvelinus confluentus,Western Arctic populations,Fishes,"Yukon, Northwest Territories, British Columbia, Alberta",Special Concern,No schedule,No Status
Bull Trout,Salvelinus confluentus,Saskatchewan - Nelson Rivers populations,Fishes,Alberta,Threatened,No schedule,No Status
Bull Trout,Salvelinus confluentus,Pacific populations,Fishes,British Columbia,Not at Risk,,
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Schedule 1,Endangered
Butler's Gartersnake,Thamnophis butleri,,Reptiles,Ontario,Endangered,Schedule 1,Threatened
Butternut,Juglans cinerea,,Vascular Plants,"Ontario, Quebec, New Brunswick",Endangered,Schedule 1,Endangered
California Buttercup,Ranunculus californicus,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
California Sea Lion,Zalophus californianus,,Mammals,"British Columbia, Pacific Ocean",Not at Risk,,
Canada Lynx,Lynx canadensis,,Mammals,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Canada Warbler,Cardellina canadensis,,Birds,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia",Threatened,Schedule 1,Threatened
Canadian Toad,Bufo hemiophrys,,Amphibians,"Northwest Territories, Alberta, Saskatchewan, Manitoba",Not at Risk,,
Canary Rockfish,Sebastes pinniger,,Fishes,Pacific Ocean,Threatened,No schedule,No Status
Canyon Wren,Catherpes mexicanus,,Birds,British Columbia,Not at Risk,,
Caribou dawsoni subspecies,Rangifer tarandus dawsoni,,Mammals,British Columbia,Extinct,,
Carmine Shiner,Notropis percobromus,,Fishes,Manitoba,Threatened,Schedule 1,Threatened
Cascade Mantled Ground Squirrel,Spermophilus saturatus,,Mammals,British Columbia,Not at Risk,,
